neighbourhood,num_listings,avg_available_days,avg_availability_percent
Hackney,6425,27.11,29.79
Lambeth,5060,29.9,32.86
Islington,5103,30.19,33.18
Southwark,5332,30.42,33.43
Haringey,2553,33.05,36.32
Tower Hamlets,7530,33.13,36.41
Wandsworth,4871,33.76,37.1
Hammersmith and Fulham,3957,34.89,38.34
Lewisham,2732,35.21,38.69
Richmond upon Thames,1286,35.61,39.13
Waltham Forest,1944,36.62,40.24
Merton,1522,38.16,41.94
Camden,6277,38.19,41.97
Brent,2943,38.98,42.84
Ealing,2387,39.69,43.61
Kingston upon Thames,709,40.42,44.42
Kensington and Chelsea,6344,42.14,46.31
Newham,2577,42.27,46.45
Westminster,10715,42.44,46.64
Hounslow,1311,43.18,47.45
Greenwich,2110,43.51,47.81
Barnet,2433,45.6,50.11
City of London,605,46.36,50.95
Bromley,864,46.5,51.1
Croydon,1640,46.64,51.26
Sutton,457,47.49,52.18
Enfield,922,50.21,55.18
Redbridge,1034,50.37,55.35
Harrow,628,51.81,56.93
Hillingdon,943,55.01,60.45
Barking and Dagenham,782,55.76,61.27
Havering,553,57.79,63.5
Bexley,589,58.9,64.73
