neighbourhood,review_count,positive_mentions,negative_mentions,positive_to_negative_ratio,positive_percent
Richmond upon Thames,33364,28619,283,101.13,85.78
Sutton,7183,5750,74,77.70,80.05
Bromley,13033,10708,142,75.41,82.16
Kingston upon Thames,13256,11313,156,72.52,85.34
Hounslow,26964,22250,320,69.53,82.52
Enfield,13809,10702,161,66.47,77.50
Merton,21670,17654,275,64.20,81.47
Haringey,46938,37734,614,61.46,80.39
Greenwich,36540,31058,525,59.16,85.00
Wandsworth,85888,72489,1234,58.74,84.40
Waltham Forest,27478,22270,380,58.61,81.05
Hammersmith and Fulham,84666,72409,1260,57.47,85.52
Ealing,45097,37391,657,56.91,82.91
Bexley,6813,5218,92,56.72,76.59
Islington,111549,95693,1697,56.39,85.79
Barnet,32694,26597,474,56.11,81.35
Lambeth,121554,99352,1778,55.88,81.73
Hackney,116095,102829,1846,55.70,88.57
Redbridge,12625,10078,181,55.68,79.83
Havering,5011,4127,76,54.30,82.36
Lewisham,41353,32827,613,53.55,79.38
Harrow,9410,7807,146,53.47,82.96
Hillingdon,21863,18086,341,53.04,82.72
Newham,40641,34210,684,50.01,84.18
Southwark,120956,98599,1979,49.82,81.52
Kensington and Chelsea,131504,116889,2412,48.46,88.89
Croydon,24130,18762,394,47.62,77.75
City of London,16667,15285,329,46.46,91.71
Camden,171997,143278,3373,42.48,83.30
Westminster,257409,220905,5209,42.41,85.82
Brent,54681,42840,1030,41.59,78.35
Tower Hamlets,146882,125658,3334,37.69,85.55
Barking and Dagenham,7362,5718,159,35.96,77.67
