property_type,num_listings,avg_price,avg_rating,total_reviews,superhost_percent
Entire rental unit,20053,225.39,4.64,481563,25.0
Private room in home,5874,64.51,4.72,252855,33.84
Entire condo,5645,201.11,4.74,157966,31.12
Private room in rental unit,5111,154.53,4.68,224408,27.2
Entire home,4076,301.69,4.72,65356,22.99
Private room in condo,2257,81.2,4.77,114053,39.43
Entire serviced apartment,1435,255.28,4.59,42870,27.46
Private room in townhouse,758,80.47,4.79,63151,47.1
Entire townhouse,555,394.73,4.82,17884,39.64
Room in hotel,306,171.22,4.3,14196,10.46
Private room in bed and breakfast,271,148.73,4.65,12948,25.46
Private room in guesthouse,195,86.11,4.61,9007,25.64
Entire loft,187,188.36,4.79,10816,37.43
Entire guesthouse,162,108.54,4.74,6437,34.57
Room in boutique hotel,145,212.04,4.53,9237,5.52
Private room in guest suite,128,108.59,4.79,11222,54.69
Entire guest suite,124,102.74,4.82,7889,49.19
Private room in loft,75,76.55,4.82,6726,56.0
Room in aparthotel,69,216.07,4.59,6659,49.28
Shared room in hostel,61,240.82,4.44,5920,9.84
Private room in serviced apartment,59,97.22,4.68,2620,30.51
Entire place,55,174.84,4.83,1764,27.27
Room in serviced apartment,53,358.23,4.42,830,0.0
Entire vacation home,40,195.8,4.74,813,22.5
Boat,37,160.0,4.75,1592,27.03
Tiny home,36,96.47,4.72,1382,30.56
Private room in bungalow,36,61.5,4.73,2074,25.0
Private room,36,73.06,4.79,3400,22.22
Entire cottage,35,202.71,4.84,1525,31.43
Shared room in rental unit,33,51.97,4.51,902,9.09
Shared room in home,32,55.13,4.05,383,9.38
Private room in casa particular,32,120.56,4.76,1384,25.0
Entire cabin,30,98.97,4.68,1243,26.67
Entire bungalow,28,136.29,4.66,376,21.43
Entire villa,20,596.7,4.85,258,40.0
Private room in cottage,19,85.05,4.91,1731,63.16
Private room in tiny home,17,74.18,4.84,1348,52.94
Private room in hostel,15,160.87,4.43,604,20.0
Private room in vacation home,12,93.42,4.65,346,50.0
Houseboat,12,181.67,4.81,1064,50.0
